epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1735.81,0.93734,0.51827,0.99168,0.96875,0.94388,0.98386,0.77068,0.90599,0.44093,0.96038,0.00082118,0.00082118,0.00082118
61,1764.17,0.91796,0.51224,0.98815,0.9697,0.93029,0.98064,0.75799,0.93782,0.45644,0.96905,0.0008012,0.0008012,0.0008012
62,1792.13,0.92703,0.51295,0.98658,0.96179,0.94608,0.98148,0.77366,0.88483,0.43662,0.95468,0.00078122,0.00078122,0.00078122
63,1820.74,0.9152,0.51381,0.98966,0.96482,0.94345,0.98375,0.75586,0.9186,0.44739,0.96539,0.00076124,0.00076124,0.00076124
64,1848.33,0.92667,0.51231,0.98927,0.9757,0.94213,0.98647,0.76553,0.89055,0.43856,0.95251,0.00074126,0.00074126,0.00074126
65,1875.89,0.91607,0.51326,0.98986,0.96334,0.94467,0.98231,0.752,0.9283,0.45213,0.96769,0.00072128,0.00072128,0.00072128
66,1903.9,0.9058,0.50609,0.98203,0.96822,0.94836,0.98631,0.77169,0.87974,0.42748,0.94889,0.0007013,0.0007013,0.0007013
67,1931.36,0.89945,0.50406,0.98117,0.97638,0.94246,0.9845,0.78299,0.882,0.43029,0.94946,0.00068132,0.00068132,0.00068132
68,1959.41,0.87996,0.4931,0.97194,0.95854,0.94915,0.98571,0.7658,0.92316,0.43732,0.96049,0.00066134,0.00066134,0.00066134
69,1987.26,0.86842,0.48992,0.97182,0.97727,0.94301,0.98666,0.75972,0.92905,0.43504,0.96555,0.00064136,0.00064136,0.00064136
70,2015.37,0.89232,0.49626,0.97906,0.97217,0.94965,0.98669,0.76732,0.88805,0.42154,0.95057,0.00062138,0.00062138,0.00062138
71,2043.49,0.8895,0.49626,0.97974,0.97968,0.95116,0.98848,0.77297,0.88204,0.41921,0.94993,0.0006014,0.0006014,0.0006014
72,2071.57,0.86557,0.48324,0.97143,0.98003,0.9467,0.98738,0.77562,0.88854,0.42058,0.95095,0.00058142,0.00058142,0.00058142
73,2099.35,0.8693,0.48257,0.9677,0.97069,0.94369,0.98391,0.77705,0.85746,0.42765,0.93782,0.00056144,0.00056144,0.00056144
74,2127.54,0.87274,0.48635,0.97221,0.97302,0.95178,0.98752,0.78219,0.84123,0.41389,0.93732,0.00054146,0.00054146,0.00054146
75,2155.54,0.84028,0.46974,0.96006,0.97364,0.95541,0.98615,0.77846,0.84005,0.40911,0.93082,0.00052148,0.00052148,0.00052148
